Device,Interface FPS,Entropy (bits),Internal H/J,Efficiency Gap,Note
CPU (i7-TDP),44.62728739942343,7.97206667821774,21052.63157894737,1.0,Pseudo-Random Logic
ASIC (Antminer S9),5.804530474386634,7.7472084684174725,11230769230.76923,533461.5384615384,Hardware-Native Physics
